DayAheadForecast,WeekAheadForecast,MonitoredCapacity,LoadFactor,MostRecentForecast
412.88,369.29,3369.05,9.87,421.95
326.45,295.57,3369.05,6.97,337.53
254.99,236.8,3369.05,4.93,266.21
200.87,191.22,3369.05,3.81,209.55
154.44,147.67,3369.05,2.74,158.75
108.27,101.88,3369.05,1.97,109.22
69.33,63.4,3369.05,1.25,68.12
37.18,33.0,3369.05,0.55,35.6
11.31,10.01,3369.05,0.13,10.68
0.39,0.37,3369.05,0.02,0.41
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.01,0.01,3369.05,0.0,0.01
10.05,9.77,3369.05,0.01,10.34
35.42,33.98,3369.05,0.97,35.52
65.29,62.22,3369.05,2.06,64.32
97.91,93.31,3369.05,3.4,96.03
136.22,128.25,3369.05,4.81,133.72
176.58,163.57,3369.05,7.01,172.66
226.75,208.88,3369.05,9.2,223.85
303.8,280.44,3369.05,11.68,303.08
402.13,376.3,3369.05,14.27,403.73
517.39,487.36,3369.05,17.89,594.82
638.28,599.89,3369.05,21.33,710.96
761.91,729.23,3369.05,25.81,832.35
895.23,864.95,3369.05,29.24,958.91
1028.6,1004.28,3369.05,33.63,1084.85
1155.73,1143.43,3369.05,37.41,1206.93
1271.6,1278.88,3369.05,41.35,1316.3
1385.47,1407.7,3369.05,45.04,1419.72
1494.7,1523.76,3369.05,48.61,1519.41
1595.98,1625.99,3369.05,51.38,1609.3
1690.18,1716.75,3369.05,54.25,1692.35
1777.48,1802.95,3369.05,56.77,1766.39
1860.3,1886.71,3369.05,58.88,1962.96
1932.49,1964.16,3369.05,61.42,2028.58
1994.2,2029.33,3369.05,64.08,2085.49
2041.08,2078.29,3369.05,65.66,2130.19
2078.37,2117.46,3369.05,66.92,2163.01
2109.42,2150.87,3369.05,66.95,2193.91
2131.11,2177.62,3369.05,66.43,2210.19
2139.49,2196.56,3369.05,63.77,2190.32
2135.32,2207.71,3369.05,61.88,2158.27
2122.55,2211.11,3369.05,57.32,2129.18
2100.55,2206.86,3369.05,56.59,2091.46
2069.92,2194.78,3369.05,51.14,2040.35
2031.59,2172.86,3369.05,46.41,1777.82
1982.11,2142.91,3369.05,44.15,1719.41
1917.07,2105.82,3369.05,43.78,1655.38
1845.47,2063.91,3369.05,40.3,1593.05
