DayAheadForecast,DayAheadConfidence10,DayAheadConfidence90,WeekAheadConfidence10,WeekAheadConfidence90,MonitoredCapacity,LoadFactor,MostRecentForecast,Realtime
521.03,201.95,841.96,157.3,1744.5,3157.18,0.19,702.01,594.49
523.12,201.27,846.98,153.1,1745.31,3157.18,0.19,723.55,584.27
525.21,200.6,852.02,148.92,1746.12,3157.18,0.18,745.09,575.61
527.3,199.92,857.04,144.72,1746.93,3157.18,0.2,766.62,628.6
531.13,198.37,866.4,141.64,1748.34,3157.18,0.19,785.62,598.71
536.71,195.96,880.08,139.65,1750.32,3157.18,0.2,802.07,645.29
542.29,193.54,893.76,137.68,1752.32,3157.18,0.22,818.53,688.62
547.87,191.12,907.44,135.69,1754.3,3157.18,0.23,834.99,727.65
559.76,190.49,931.78,134.5,1756.89,3157.18,0.23,847.05,717.4
577.95,191.65,966.77,134.13,1760.06,3157.18,0.22,854.69,688.59
596.15,192.81,1001.77,133.75,1763.22,3157.18,0.22,862.33,687.25
614.34,193.97,1036.76,133.38,1766.39,3157.18,0.24,869.97,749.56
641.01,203.61,1080.23,133.52,1770.07,3157.18,0.24,820.87,742.39
676.13,221.73,1132.18,134.18,1774.24,3157.18,0.25,850.81,794.07
711.24,239.85,1184.12,134.85,1778.41,3157.18,0.3,880.75,935.27
746.36,257.97,1236.07,135.52,1782.59,3157.18,0.31,910.68,988.13
771.08,273.99,1269.4,136.41,1787.18,3157.18,0.33,935.05,1032.79
785.39,287.92,1284.15,137.53,1792.19,3157.18,0.34,953.84,1067.81
799.69,301.85,1298.89,138.66,1797.2,3157.18,0.34,972.64,1089.13
813.99,315.78,1313.65,139.78,1802.21,3157.18,0.35,991.44,1092.1
832.06,331.45,1334.12,140.98,1807.75,3157.18,0.35,1006.03,1105.07
853.88,348.89,1360.36,142.24,1813.83,3157.18,0.38,1016.4,1210.68
875.69,366.32,1386.57,143.51,1819.89,3157.18,0.4,1026.77,1276.25
897.51,383.76,1412.81,144.77,1825.97,3157.18,0.39,1037.14,1228.39
920.58,404.46,1438.16,146.01,1832.59,3157.18,0.36,1044.73,1130.56
944.92,428.41,1462.63,147.23,1839.75,3157.18,0.34,1049.51,1063.2
969.25,452.37,1487.11,148.45,1846.92,3157.18,0.32,1054.29,1006.84
993.59,476.33,1511.58,149.67,1854.08,3157.18,0.32,1059.08,1023.62
1017.23,498.92,1534.47,150.7,1861.58,3157.18,0.34,1070.35,1068.5
1040.17,520.11,1555.77,151.56,1869.41,3157.18,0.35,1088.12,1118.62
1063.11,541.32,1577.07,152.4,1877.25,3157.18,0.37,1105.9,1173.0
1086.04,562.51,1598.37,153.26,1885.09,3157.18,0.38,1123.67,1203.85
1114.31,587.49,1626.05,154.0,1893.0,3157.18,0.37,1136.97,1181.75
1147.87,616.22,1660.1,154.62,1900.97,3157.18,0.37,1152.48,1183.5
1181.45,644.95,1694.16,155.24,1908.95,3157.18,0.38,1167.99,1201.38
